RefSeq,D_idx,Z_idx,Distance_bp,Distance_pc
NZ_CP019401,1,0,99,0
NZ_CP005974,0,0,2143,0
NZ_CP014262,0,0,10629,0
NC_011744,0,0,10317,0
NC_013223,0,0,14287,0
NZ_CP014912,0,0,191267,5
NZ_CP014912,1,0,189537,5
NC_013216,0,0,1638,0
NC_016025,0,0,8471,0
NC_013061,0,0,14028,0
NC_015759,0,0,899,0
NC_015759,1,0,2711,0
NC_016147,0,0,69157,2
NZ_CP021455,0,0,240941,5
NC_017243,0,0,17166,0
NC_002620,0,0,111,0
NC_017025,0,0,1189,0
NC_013132,0,0,2721,0
NC_020300,0,0,3777,0
NC_002939,0,0,669589,17
NC_002939,1,0,671451,17
NZ_CP015318,0,0,1642697,26
NC_017992,0,0,20555,0
NC_002977,0,0,1130,0
NC_016041,0,0,2635,0
NC_017554,0,0,2484,0
NZ_LT853882,0,0,199372,4
NC_017049,0,0,4898,0
NZ_CP016076,0,0,2852,0
NC_005126,0,0,71060,1
NZ_CP012505,0,0,31110,2
NZ_CP009246,0,0,2082,0
NZ_CP009246,1,0,210,0
NZ_CP010820,0,0,17144,0
NZ_CP010820,1,0,15406,0
NZ_CP014606,0,0,3335,0
NZ_CP022121,0,0,1904,0
NZ_CP022121,1,0,233,0
NZ_CP012294,0,0,1600,0
NC_014010,0,0,152,0
NC_018870,0,0,6804,0
NC_018870,1,0,8367,0
NZ_CP014872,0,0,1390,0
NZ_CP014872,1,0,300,0
NZ_CP013401,0,0,46742,1
NC_017956,0,0,136808,3
NC_020272,0,0,3901,0
NC_020272,1,0,2264,0
NC_016638,0,0,3246,0
NZ_LT906445,0,0,3034,0
NZ_LT906445,1,0,913,0
NZ_CP013398,0,0,45793,1
NC_016112,0,0,2301,0
NZ_CP009125,0,0,3084,0
NZ_CP009787,0,0,2692,0
NC_015559,0,0,4862,0
NC_007503,0,0,1555,0
NC_007503,1,0,133,0
NC_009446,0,0,2901,0
NZ_CP009679,0,0,3130,0
NZ_CP009679,1,0,1388,0
NC_016906,0,0,12697,0
NZ_CP011855,0,0,472,0
NZ_CP011025,0,0,2658,0
NC_008095,0,0,5358,0
NZ_CP011039,0,0,4310,0
NZ_CP019038,0,0,51035,0
NC_014964,0,0,6898,0
NC_017096,0,0,2236,0
NC_003911,0,0,3434,0
NZ_CP015622,0,0,10820,0
NC_017093,0,0,18553,0
NZ_CP009709,0,0,1507,0
NZ_CP009709,1,0,283,0
NC_017030,0,0,5378,0
NZ_CP012418,0,0,191,0
NZ_CP006837,0,0,802,0
NZ_CP006837,1,0,907,0
NZ_CP012400,0,0,125677,1
NC_018720,0,0,4763,0
NC_018720,1,0,2648,0
NC_012778,0,0,6253,0
NC_012778,1,0,4491,0
NC_020134,0,0,5359,0
NC_014387,0,0,32,0
NC_014387,1,0,1813,0
NC_020506,0,0,7218,0
NC_020506,1,0,4826,0
NC_007759,0,0,6982,0
NZ_LT906470,0,0,2834,0
NZ_LT906470,1,0,742,0
NZ_CP013106,0,0,181,0
NZ_CP016312,0,0,1466,0
NC_011027,0,0,15568,0
NC_011027,1,0,13630,0
NZ_CP011388,0,0,599343,11
NC_011026,0,0,19299,0
NZ_LT906463,0,0,63085,2
NZ_AP012322,0,0,5301,0
NC_013501,0,0,41,0
NZ_CP025197,0,0,13311,0
NZ_CP017786,0,0,12669,0
NZ_CP017786,1,0,10920,0
NC_013515,0,0,575,0
NZ_CP011041,0,0,11680,0
NZ_LT629973,0,0,1423971,46
NZ_CP017267,0,0,4317,0
NZ_CP017267,1,0,5972,0
NC_015921,0,0,7274,0
NC_013203,0,0,13113,0
NC_013203,1,0,14801,0
NZ_LN879430,0,0,7303,0
NZ_CP015199,0,0,460225,9
NZ_CP014864,0,0,2949,0
NC_022792,0,0,82338,3
NC_013205,0,0,2127,0
NC_013205,1,0,417,0
NC_012034,0,0,2979,0
NZ_HG916826,0,0,30144,0
NC_017448,0,0,20423,0
NZ_HG917868,0,0,3350,0
NZ_HG917868,1,0,1621,0
NZ_CP018218,0,0,5473,0
NZ_CP018218,1,0,3781,0
NC_010556,0,0,16183,0
NC_010556,1,0,14322,0
NZ_LT605585,0,0,116408,5
NZ_CP009288,0,0,1703,0
NC_005861,0,0,148536,6
NC_013166,0,0,2723,0
NC_007899,0,0,63,0
NZ_CP009977,0,0,7751,0
NZ_CP011058,0,0,3636,0
NZ_CP020414,0,0,1005,0
NZ_CP013988,0,0,14684,0
NZ_CP013988,1,0,12865,0
NZ_CP015378,0,0,2023,0
NZ_CP015378,1,0,3912,0
NC_007947,0,0,812,0
NZ_CP012047,0,0,781,0
NZ_CP012047,1,0,2460,0
NZ_CP011503,0,0,45814,1
NC_013173,0,0,403515,10
NC_013512,0,0,5017,0
NC_006055,0,0,17,0
NZ_CP021047,0,0,39995,1
NC_013522,0,0,57581,3
NC_013522,1,0,59228,3
NC_013525,0,0,318715,15
NC_013124,0,0,6470,0
NC_013124,1,0,4893,0
NC_018664,0,0,153,0
NC_018664,1,0,1534,0
NC_022116,0,0,13657,0
NZ_CP015581,0,0,4462,0
NZ_AP012547,0,0,12370,0
NC_022549,0,0,13829,0
NZ_CP022930,0,0,16385,0
NZ_CP022930,1,0,14690,0
NZ_CP014646,0,0,85745,2
NC_008148,0,0,22553,0
NC_021085,0,0,2243,0
NC_015675,0,0,34699,0
NC_007951,0,0,45483,0
NZ_CP013189,0,0,3654,0
NZ_CP007480,0,0,982,0
NZ_CP011803,0,0,49416,0
NZ_CP011803,1,0,47647,0
NZ_CP022413,0,0,6451,0
NZ_CP022413,1,0,4575,0
NC_019902,0,0,51654,1
NZ_CP011853,0,0,19315,0
NZ_CP011853,1,0,21406,0
NC_021291,0,0,2605,0
NC_022793,0,0,1406,0
NC_007354,0,0,107,0
NZ_AP014862,0,0,20389,0
NZ_CP011409,0,0,776345,15
NZ_AP012334,0,0,1451,0
NZ_AP012334,1,0,3692,0
NZ_CP006954,0,0,1820,0
NC_014624,0,0,5357,0
NC_008255,0,0,43421,0
NZ_CP007201,0,0,176,0
NZ_LT906479,0,0,25523,0
NZ_CP015613,0,0,1035,0
NZ_CP016337,0,0,36889,0
NC_005966,0,0,392,0
NC_015578,0,0,3410,0
NC_002570,0,0,1782,0
NC_002570,1,0,50,0
NC_015714,0,0,1088,0
NC_015844,0,0,7777,0
NZ_CP013940,0,0,107330,2
NZ_CP017689,0,0,381,0
NC_011830,0,0,2220,0
NC_011830,1,0,566,0
NZ_CP012266,0,0,2446,0
NC_022369,0,0,4952,0
NC_016630,0,0,7859,0
NC_016630,1,0,9676,0
NC_015437,0,0,4941,0
NZ_CP012268,0,0,16900,0
NZ_CP013910,0,0,1608531,49
NZ_CP009716,0,0,562,0
NC_004432,0,0,573261,42
NZ_CP014143,0,0,13078,0
NC_012590,0,0,3524,0
NC_012590,1,0,1273,0
NC_014246,0,0,814687,37
NC_020888,0,0,8610,0
NZ_CP022132,0,0,17988,0
NC_014034,0,0,33055,0
NC_017094,0,0,1693,0
NC_003103,0,0,12205,0
NZ_AP013035,0,0,14589,0
NC_014541,0,0,3672,0
NC_017735,0,0,10732,0
NC_017067,0,0,1174,0
NC_014370,0,0,8929,0
NC_022664,0,0,12256,0
NZ_CP025003,0,0,1883,0
NC_014117,0,0,8345,0
NZ_CP021359,0,0,453202,11
NC_021064,0,0,217465,8
NC_006513,0,0,87852,2
NC_010168,0,0,39579,1
NC_010168,1,0,37883,1
NC_014377,0,0,14468,0
NC_010803,0,0,3476,0
NC_008639,0,0,13509,0
NC_014098,0,0,2901,0
NC_014506,0,0,477,0
NC_009792,0,0,59257,1
NC_007963,0,0,2441,0
NZ_CP015750,0,0,1746178,34
NC_011059,0,0,3072,0
NC_012962,0,0,45753,0
NC_007292,0,0,4034,0
NC_011374,0,0,83733,9
NC_020995,0,0,8447,0
NC_020995,1,0,10119,0
NZ_AP012325,0,0,828,0
NC_006177,0,0,524,0
NC_006177,1,0,2228,0
NC_012926,0,0,879,0
NC_012926,1,0,652,0
NC_013119,0,0,1689,0
NC_020813,0,0,5069,0
NZ_CP014159,0,0,4633,0
NZ_CP014159,1,0,6232,0
NZ_CP011112,0,0,29579,0
NZ_CP011542,0,0,5356,0
NZ_CP011542,1,0,2737,0
NC_013851,0,0,133326,3
NZ_LT630287,0,0,2536,0
NZ_LT630287,1,0,745,0
NC_017455,0,0,824,0
NC_017455,1,0,995,0
NC_014632,0,0,2765,0
NZ_CP017184,0,0,1417,0
NZ_CP016502,0,0,5890,0
NC_014011,0,0,633,0
NC_014011,1,0,2269,0
NC_014393,0,0,7260,0
NC_014393,1,0,5513,0
NC_014816,0,0,8954,0
NZ_CP014835,0,0,7264,0
NZ_CP014835,1,0,5719,0
NC_012796,0,0,1794513,34
NC_012796,1,0,1796540,34
NC_014364,0,0,45,0
NC_015696,0,0,29548,1
NZ_CP016796,0,0,4907,0
NZ_CP016782,0,0,2579,0
NZ_CP011253,0,0,16099,0
NC_014378,0,0,2435,0
NC_014378,1,0,666,0
NC_000117,0,0,127,0
NC_000913,0,0,3633,0
NC_000962,0,0,2094,0
NC_000964,0,0,3627,0
NC_000964,1,0,1392,0
NC_002163,0,0,8508,0
NC_002516,0,0,18819,0
NC_002696,0,0,14563,0
NC_002947,0,0,7983,0
NC_002971,0,0,187358,9
NC_003047,0,0,17357,0
NC_003197,0,0,2690,0
NC_003210,0,0,1053,0
NC_003210,1,0,2757,0
NC_005363,0,0,2442,0
NC_007795,0,0,12882,0
NC_007795,1,0,11017,0
NC_011916,0,0,22579,0
NC_016845,0,0,2053,0
