RefSeq,D_idx,Z_idx,Distance
NC_015321,0,0,3588
NC_005070,0,0,616
NC_015174,0,0,1413359
NC_018017,0,0,418
NC_018017,1,0,1250
NZ_CP019640,0,0,5111
NZ_CP019640,1,0,3440
NZ_CP012908,0,0,12936
NZ_CP018820,0,1,16237
NC_021287,0,0,9454
NZ_CP024610,0,0,240612
NZ_CP024610,1,0,238914
NZ_CP013481,0,0,61128
NC_018012,0,0,143403
NC_019940,0,0,1967
NZ_CP013480,0,0,15893
NC_015702,0,0,741
NC_023018,0,0,2315213
NC_017033,0,0,1744
NC_017033,1,0,115
NZ_CP010310,0,0,14934
NC_021184,0,0,984
NZ_LT906435,0,0,59006
NC_014532,0,0,22306
NC_015567,0,0,2800
NC_014758,0,0,7397
NC_018515,0,0,920
NC_018515,1,0,2683
NZ_CP020472,0,0,15125
NC_016584,0,0,610
NC_016584,1,0,2282
NC_017095,0,0,60767
NC_015682,0,0,9334
NC_010170,0,0,15129
NZ_CP002082,0,0,430
NC_016026,0,0,2375
NC_015572,0,0,2734
NZ_CP013450,0,0,44609
NC_015555,0,0,42605
NC_009943,0,1,51565
NZ_CP018839,0,0,89925
NC_014909,0,0,15463
NC_018267,0,1,14685
NZ_CP013070,0,0,332605
NC_016620,0,0,2484
NZ_CP010799,0,0,714685
NC_014315,0,0,3381
NZ_AP012333,0,0,1163
NZ_AP012333,1,0,1241
NC_007777,0,0,15366
NZ_CP015880,0,0,3205
NC_018010,0,0,1698619
NC_017668,0,0,5597
NC_017668,1,0,3815
NC_015167,0,0,959018
NC_015185,0,1,4956
NC_015385,0,0,37787
NC_015387,0,0,591
NC_017583,0,0,1768
NC_018020,0,0,57296
NC_014722,0,0,595
NC_015968,0,0,22693
NZ_AP017655,0,1,356460
NZ_CP022745,0,0,826938
NC_019892,0,1,111315
NC_012440,0,0,23534
NC_015945,0,0,96165
NZ_CP023536,0,0,55795
NC_017098,0,0,13268
NC_018024,0,1,10738
NC_018024,1,1,9135
NZ_CP014163,0,0,6694
NZ_CP014163,1,0,5002
NC_015500,0,0,3991
NZ_CP007810,0,0,192049
NC_019960,0,0,209946
NC_021252,0,0,101817
NZ_CP017713,0,0,1677
NZ_CP017713,1,0,76
NZ_CP010975,0,0,896
NZ_CP018725,0,0,112699
NC_018420,0,0,399960
NC_018420,1,0,403310
NC_017079,0,0,25714
NC_019904,0,0,4349
NC_016599,0,0,45963
NC_016599,1,0,44061
NZ_CP011545,0,0,1380
NZ_CP011545,1,0,815
NC_018014,0,0,6531
NC_014960,0,0,6878
NZ_CP014635,0,0,9086
NZ_CP014635,1,0,11224
NC_015186,0,0,41467
NC_017770,0,0,33
NC_013456,0,0,14975
NZ_CP014136,0,0,2270
NZ_CP011030,0,0,577
NC_018691,0,0,2897
NZ_CP009220,0,0,36601
NZ_CP017040,0,0,10675
NC_020291,0,0,9724
NC_020291,1,0,11462
NC_016894,0,0,5001
NZ_CP020773,0,0,2601
NZ_CP020773,1,0,897
NC_008576,0,0,28708
NZ_LT906467,0,0,19229
NZ_LT906467,1,0,21654
NC_016024,0,0,14725
NC_016940,0,0,7488
NC_016940,1,0,505
NC_016941,0,0,19728
NC_016941,1,0,17862
NZ_CP021358,0,0,84751
NC_015152,0,0,89510
NC_016633,0,0,80375
NC_016641,0,0,1241
NC_016641,1,0,3186
NZ_CP017075,0,0,20780
NZ_CP023525,0,1,27941
NZ_CP014223,0,0,1208
NC_015687,0,0,24029
NC_015687,1,0,25779
NZ_LT906446,0,0,741
NC_015259,0,1,54732
NZ_CP013232,0,0,133601
NZ_CP016278,0,0,3025
NC_007481,0,0,11282
NC_005042,0,0,31
NC_003910,0,0,1784
NC_017672,0,0,49128
NC_017672,1,0,1668
NZ_CP022115,0,0,8480
NC_023135,0,1,294
NC_016111,0,1,265293
NC_017066,0,0,2719
NZ_CP009286,0,0,3527
NZ_CP022096,0,0,48349
NZ_CP022096,1,0,46510
NZ_CP012034,0,0,18219
NZ_CP012034,1,0,16497
NC_016043,0,0,1683
NZ_HG938353,0,0,142137
NC_022997,0,0,90781
NC_015635,0,0,9494
NZ_CP020028,0,0,63356
NZ_CP020028,1,0,65331
NC_015848,0,0,14
NC_015848,1,0,2102
NZ_CP011541,0,0,2525
NZ_CP011541,1,0,4857
NZ_CP009354,0,0,7732
NC_012108,0,0,1129
NC_015875,0,0,1176
NC_015875,1,0,2722
NC_006138,0,0,38900
NZ_CP011546,0,0,4573
NZ_CP011546,1,0,7033
NZ_CP009238,0,0,121
NC_019729,0,0,1440846
NZ_LN831776,0,0,1801
NZ_CP012264,0,0,16713
NC_005043,0,0,4947
NZ_CP012257,0,1,3683
NZ_CP012559,0,0,1581
NC_017216,0,0,2835
NC_017216,1,0,3306
NZ_AP012273,0,0,164
NZ_CP013737,0,0,1897081
NZ_CP021455,0,0,156144
NZ_CP015318,0,0,1642701
NC_016041,0,0,1300
NZ_CP012505,0,0,31105
NZ_CP009291,0,0,7134
NZ_CP017454,0,0,2920
NC_018870,0,0,10005
NC_018870,1,0,11568
NC_020272,0,0,4741
NC_020272,1,0,3104
NC_016112,0,0,3134
NC_016906,0,1,27902
NZ_CP011855,0,0,423
NC_021283,0,0,310426
NZ_CP011025,0,0,851
NZ_CP011039,0,0,6398
NC_014117,0,0,3320
NZ_CP009709,0,0,1507
NZ_CP009709,1,0,283
NZ_CP017705,0,0,2967
NZ_CP017705,1,0,1193
NC_020134,0,0,7211
NC_020506,0,0,10639
NC_020506,1,0,8247
NC_020302,0,0,21927
NC_020302,1,0,19352
NC_022792,0,0,53181
NC_022795,0,1,175067
NZ_FO082820,0,0,11049
NZ_CP011058,0,0,3754
NC_016887,0,0,195946
NC_016887,1,0,199013
NC_018664,0,0,153
NC_018664,1,0,1534
NZ_CP014646,0,0,82684
NC_021085,0,0,2306
NZ_CP011853,0,0,35382
NZ_CP011853,1,0,37473
NZ_AP014862,0,0,17530
NZ_AP012331,0,0,38205
NZ_AP012331,1,0,40202
NZ_AP012334,0,0,2229
NZ_AP012334,1,0,4470
NC_017059,0,0,594668
NZ_CP007201,0,0,224
NZ_CP015613,0,0,2800
NZ_CP016337,0,0,64681
NC_018406,0,0,7083
NZ_CP013940,0,0,194312
NZ_CP012266,0,0,3754
NZ_CP012268,0,0,25464
NC_017094,0,0,1851
NC_022357,0,0,390
NC_022357,1,0,2282
NC_017735,0,0,311948
NC_017067,0,0,1716
NC_021064,0,0,217491
NC_017761,0,1,702624
NC_019753,0,0,78825
NC_019738,0,1,1217261
NC_021880,0,0,20578
NZ_CP019044,0,1,611313
NZ_CP015750,0,0,1751481
NC_022600,0,0,31403
NC_020813,0,0,10580
NZ_CP016534,0,0,4800
NZ_CP016534,1,0,3126
NZ_CP022203,0,0,7635
NC_018178,0,1,43330
NC_018178,1,1,45089
NZ_CP018632,0,0,1693
NZ_CP017111,0,0,273
NC_019566,0,1,564881
NZ_CP007445,0,0,850
NC_018149,0,0,5623
NZ_CP016757,0,0,34797
NZ_CP016757,1,0,32993
NC_021870,0,0,3823
NC_015064,0,1,2637
NC_018419,0,0,297930
NC_018419,1,0,293989
NC_021663,0,0,18682
NC_021663,1,0,16292
NZ_CP011883,0,0,11565
NC_018416,0,0,42739
NC_018507,0,0,22892
NC_020283,0,0,1869
NC_020294,0,0,2156
NC_020299,0,0,1907
NC_020284,0,0,1907
NC_019814,0,0,175086
NC_015519,0,0,7177
NC_021505,0,0,9814
NZ_LN614827,0,0,9775
NC_021985,0,0,3929749
NZ_CP022657,0,0,32583
NZ_CP022657,1,0,30809
NZ_CP016537,0,0,4828
NZ_CP016537,1,0,3153
NC_021915,0,0,2893
NC_021915,1,0,5301
NZ_CP004353,0,0,26223
NZ_CP004353,1,0,23770
NZ_CP013124,0,0,7325
NC_018695,0,0,3382
NC_020510,0,1,105833
NC_018631,0,0,951
NZ_CP011361,0,0,6700
NZ_CP011361,1,0,4963
NC_018605,0,1,249944
NC_021352,0,0,7464
NC_020127,0,0,39900
NZ_CP022753,0,0,22373
NZ_CP022753,1,0,24785
NC_021089,0,0,115583
NZ_CP006569,0,0,3498
NC_019949,0,0,2399
NC_022657,0,0,28222
NZ_CP003915,0,0,27303
NZ_CP009056,0,0,2083
NZ_CP004078,0,0,1377
NC_021846,0,0,153
NC_021833,0,0,193
NC_021280,0,0,400
NC_021284,0,0,89
NC_022998,0,0,1395
NC_020126,0,0,19514
NZ_CP004350,0,0,11642
NZ_CP004350,1,0,9008
NZ_CP007452,0,0,1175
NZ_CP007452,1,0,624
NZ_CP007481,0,0,2300
NC_020528,0,0,23477
NZ_CP007255,0,0,51662
NZ_AP014680,0,0,119
NZ_AP014680,1,0,1789
NZ_CP015079,0,1,803837
NZ_CP016540,0,0,1980
NZ_CP016540,1,0,306
NZ_CP009365,0,0,35434
NC_023035,0,0,3829
NZ_CP011389,0,1,1413864
NC_020520,0,0,80032
NC_020520,1,0,78209
NZ_CP011028,0,0,11478
NC_021181,0,0,1582
NC_022538,0,0,23090
NZ_CP012746,0,0,51147
NZ_CP012808,0,0,11582
NZ_LT828648,0,0,7658
NZ_CP011232,0,0,31387
NZ_CP016440,0,0,39706
NZ_CP023564,0,0,249505
NC_021219,0,0,12396
NZ_CP019606,0,1,219082
NZ_CP012871,0,0,67043
NC_022571,0,0,20742
NC_022571,1,0,22476
NZ_CP009888,0,0,3710
NC_022198,0,0,3726
NC_022198,1,0,6111
NZ_CP017704,0,0,3495
NZ_CP017704,1,0,1741
NZ_CP011491,0,0,2137
NZ_FO704551,0,0,61385
NC_023029,0,1,32482
NZ_CP013704,0,0,14630
NC_022524,0,0,5609
NC_022524,1,0,3659
NC_022041,0,0,9249
NC_022567,0,0,32407
NC_022567,1,0,34280
NZ_CP019082,0,0,26126
NC_015914,0,0,113304
NC_022438,0,0,2179
NC_022438,1,0,4016
NC_018018,0,1,441853
NC_015388,0,0,627244
NZ_CP017702,0,0,1554
NC_014810,0,0,390216
NC_019793,0,0,517425
NC_016639,0,1,15791
NC_014970,0,0,62
NC_014921,0,0,135048
NC_017187,0,0,49594
NC_017464,0,0,17089
NC_017464,1,0,15141
NZ_CP006842,0,0,6203
NZ_CP024645,0,0,474200
NC_016001,0,0,1022096
NC_017168,0,0,2828
NC_017964,0,0,26002
NC_017584,0,0,203527
NZ_CP021377,0,0,28717
NZ_CP016539,0,0,18570
NZ_CP016539,1,0,20243
NZ_CP018888,0,0,3743
NZ_AP012544,0,0,5763
NC_022905,0,0,2976
NC_022906,0,0,13527
NC_023063,0,0,12088
NZ_CP023202,0,0,3256291
NZ_CP017269,0,0,6472
NZ_CP017269,1,0,4724
NC_015759,0,0,916
NC_015759,1,0,2728
NC_016147,0,0,41074
NC_017243,0,0,22775
NC_017025,0,0,728
NC_023065,0,0,995954
NC_020300,0,0,11877
NC_017992,0,0,51319
NC_017554,0,0,4315
NC_017049,0,0,764
NZ_CP009245,0,1,429186
NZ_CP009245,1,1,432340
NC_016929,0,0,10789
NZ_CP006950,0,0,65
NC_017058,0,0,509263
NC_017042,0,1,234315
NZ_CP014137,0,1,4177
NC_017956,0,0,34298
NC_016638,0,0,4141
NC_023150,0,1,1155209
NZ_CP018906,0,0,1125
NZ_CP018906,1,0,565
NZ_CP011786,0,0,430764
NZ_HG916765,0,0,51033
NZ_CP009248,0,0,27331
NZ_CP009248,1,0,29629
NZ_CP009247,0,0,31143
NZ_CP009247,1,0,28122
NZ_CP019038,0,0,8992
NC_017080,0,0,54737
NC_016893,0,0,101924
NZ_CP022110,0,0,59197
NZ_CP007039,0,0,187100
NC_017030,0,0,4909
NZ_CP012418,0,0,187
NZ_CP007044,0,0,3262
NZ_CP006837,0,0,1255
NZ_CP006837,1,0,454
NC_018720,0,0,4126
NC_018720,1,0,6241
NZ_CP013106,0,0,233
NZ_CP011388,0,0,599539
NZ_CP022521,0,0,174
NZ_CP014544,0,0,29950
NZ_CP017786,0,0,18867
NZ_CP017786,1,0,17118
NZ_CP019699,0,0,5429
NC_019673,0,0,5045
NZ_CP013862,0,0,4182
NZ_CP013862,1,0,2451
NZ_CP016305,0,1,367382
NZ_CP011387,0,1,351310
NZ_HG916826,0,0,33586
NZ_HG917868,0,0,4928
NZ_HG917868,1,0,3199
NZ_CP018218,0,0,8877
NZ_CP018218,1,0,7185
NZ_LT605585,0,0,116601
NZ_CP009977,0,0,14572
NZ_CP015378,0,0,3941
NZ_CP015378,1,0,5830
NC_022116,0,0,61488
NZ_AP012547,0,0,32531
NZ_CP007790,0,0,23671
NZ_CP007790,1,0,21327
NZ_CP013189,0,0,5478
NZ_CP007480,0,0,11258
NC_019902,0,0,51593
NZ_AP017312,0,0,1684
NZ_AP017312,1,0,50
NC_021291,0,0,2618
NC_022793,0,0,1406
NZ_CP011409,0,0,774916
NZ_CP006954,0,0,2094
NC_022369,0,0,10414
NC_020888,0,0,8818
NZ_AP013035,0,0,21758
NC_022664,0,0,24648
NZ_CP025543,0,0,154
NZ_CP025057,0,0,158
NZ_CP011797,0,0,11083
NZ_CP012395,0,0,18554
NZ_CP012395,1,0,20333
NZ_CP006018,0,0,6975
NC_017082,0,0,94594
NZ_AP014509,0,0,311667
NZ_AP014510,0,0,170775
NZ_CP006841,0,0,2219
NZ_CP006841,1,0,15
NC_020419,0,0,421
NZ_CP009498,0,0,262229
NZ_CP007142,0,0,48403
NC_013771,0,0,75773
NZ_CP009781,0,0,3199
NZ_AP014568,0,0,144877
NZ_AP014569,0,0,494433
NZ_CP007220,0,0,156
NZ_CP007220,1,0,2037
NZ_LN681225,0,0,11003
NZ_CP014476,0,0,69931
NZ_CP009654,0,0,896
NZ_CP011412,0,0,5552
NZ_AP014940,0,0,12317
NZ_CP016020,0,0,5232
NZ_CP016020,1,0,7202
NZ_CP013023,0,0,11800
NZ_CP013023,1,0,10007
NZ_CP011005,0,0,1833
NZ_CP012117,0,0,15105
NZ_CP012117,1,0,13109
NZ_AP014836,0,0,1442
NZ_CP014332,0,0,346
NZ_CP014332,1,0,1521
NZ_CP011835,0,0,18267
NZ_CP020038,0,0,10006
NZ_CP012676,0,0,97218
NZ_CP015941,0,0,217
NZ_CP020000,0,0,42076
NZ_CP018059,0,0,978
NZ_CP015405,0,0,7464
NZ_CP015405,1,0,5586
NZ_CP018835,0,0,6843
NZ_CP023449,0,0,380897
NZ_CP015425,0,0,4887
NZ_CP008747,0,0,32263
NZ_CP008747,1,0,30564
NZ_CP008724,0,0,2965
NZ_CP008724,1,0,4818
NZ_CP019706,0,0,48097
NZ_LT906464,0,0,252
NZ_LT906464,1,0,1557
NZ_CP022046,0,0,46782
NZ_CP022046,1,0,48481
NZ_CP012480,0,0,1568
NZ_CP018139,0,0,131001
NZ_CP012805,0,0,274
NZ_CP012805,1,0,1261
NC_014614,0,0,25748
NZ_CP021376,0,0,617894
NZ_CP014170,0,0,4767
NZ_CP014170,1,0,2951
NZ_CP021434,0,0,17742
NZ_CP021434,1,0,19351
NZ_CP017237,0,0,4112
NZ_CP017237,1,0,5609
NZ_CP009933,0,0,1297439
NZ_CP009933,1,0,1299209
NZ_CP015756,0,0,16406
NZ_CP014204,0,0,1186794
NZ_CP014204,1,0,1188577
NZ_CP020465,0,1,41380
NZ_CP015108,0,0,21849
NZ_CP015108,1,0,23536
NZ_CP015398,0,0,142
NZ_CP015398,1,0,1905
NZ_LT906469,0,0,62641
NZ_CP011602,0,0,2606
NZ_CP024785,0,0,2539796
NZ_CP017482,0,0,3088
NZ_LT906483,0,0,1446
NZ_CP024608,0,0,599223
NZ_CP024199,0,0,10371
NC_019780,0,1,711329
NZ_CP023741,0,0,289518
NZ_CP009246,0,0,831
NZ_CP009246,1,0,1461
NZ_CP010820,0,0,13088
NZ_CP010820,1,0,11350
NZ_CP014022,0,0,15104
NZ_CP014022,1,0,16940
NZ_LT906445,0,0,2838
NZ_LT906445,1,0,717
NZ_CP009125,0,0,4375
NZ_CP009787,0,0,3717
NZ_CP011368,0,1,120
NZ_CP018762,0,0,243945
NZ_CP018762,1,0,242152
NZ_CP011041,0,0,12729
NZ_LT906481,0,0,691464
NZ_LT906481,1,0,693955
NC_010546,0,1,1338268
NZ_CP009288,0,0,1544
NZ_CP020414,0,0,3491
NZ_CP013988,0,0,10067
NZ_CP013988,1,0,8248
NZ_CP012047,0,0,1197
NZ_CP012047,1,0,2876
NZ_CP015581,0,0,4543
NZ_CP022930,0,0,27518
NZ_CP022930,1,0,25823
NZ_CP014158,0,0,28107
NC_014624,0,0,7734
NZ_LT906479,0,0,19636
NC_005966,0,0,505
NC_015844,0,0,11902
NC_010628,0,0,1132055
NZ_CP009716,0,0,957
NC_011729,0,0,96609
NZ_CP023044,0,0,41199
NC_006513,0,0,87263
NC_015703,0,0,7391
NC_014136,0,0,2499
NC_015177,0,0,30633
NC_014643,0,0,63516
NC_014643,1,0,65707
NZ_CP016948,0,0,2664
NZ_CP007031,0,0,4112
NC_019903,0,0,353
NZ_CP007032,0,0,2259
NZ_CP007032,1,0,611
NC_015576,0,0,44
NC_015501,0,0,900668
NZ_CP017415,0,0,200
NZ_CP013451,0,0,1603
NC_013457,0,0,27016
NC_007482,0,0,309812
NC_004311,0,0,14852
NC_004605,0,0,873
NC_003318,0,0,13500
NC_007952,0,0,13413
NC_007953,0,0,29491
NC_011313,0,1,863
NC_007624,0,0,1208
NC_010623,0,0,6650
NC_010676,0,0,7264
NC_010843,0,0,5112
NZ_CP021435,0,0,48552
NC_013524,0,0,497674
NC_007511,0,0,2281
NC_007509,0,0,148
NC_010104,0,0,14851
NZ_CP013402,0,0,4178
NC_014388,0,0,3562
NC_013526,0,1,261934
NC_014371,0,0,131710
NC_013118,0,0,14851
NC_014817,0,0,2783
NZ_CP005974,0,0,6936
NC_011744,0,0,16555
NC_019968,0,1,238069
NC_016025,0,0,11506
NC_018219,0,0,1176
NC_018672,0,0,3758
NZ_AP014635,0,0,8185
NZ_CP014167,0,0,3583
NZ_CP014167,1,0,1740
NZ_LT671418,0,0,57227
NC_014118,0,0,873
NC_014119,0,0,1055
NZ_CP014035,0,0,12710
NC_010547,0,1,20072
NZ_CP018312,0,0,1709
NC_009504,0,0,113
NC_011958,0,1,158959
NZ_LT605586,0,1,3306
NZ_HG810405,0,0,169
NC_000117,0,0,322
NC_000913,0,0,4574
NC_000962,0,0,2097
NC_000964,0,0,5250
NC_000964,1,0,3015
NC_002163,0,0,18548
NC_002516,0,0,17140
NC_002695,0,0,2728
NC_002696,0,0,38907
NC_002947,0,0,7584
NC_002971,0,0,177741
NC_003047,0,0,23476
NC_003197,0,0,3835
NC_003210,0,0,1534
NC_003210,1,0,3238
NC_003272,0,0,2635259
NC_004337,0,0,114443
NC_005363,0,0,3927
NC_007795,0,0,30668
NC_007795,1,0,28803
NC_009850,0,0,25305
NC_011916,0,0,46923
NC_016603,0,0,526651
NC_016845,0,0,2753
